Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
T0016	3.33	2.31	1.76	NA	NA	546966.33	8718572.48	0	5.5	11.65	0.19	2.04	1.22	0.35	0.97	5.59	7.37	4.59	4.78	10.17	45.08	4.08	3.42	0.44	0.66	590.84	960.52	1119.12	2809.68	588.78	959.66	1117.58	1692.36	2405.17	2669.85	3014.59	3786.86	2599.19	316.28	421.28	756.75	823.57	2881.77	3015.48	1845.23	0.56	282.31	157.41	128.86	12.21	0.01	0.01	0	0	0	0	0	-0.02	0.04	126.05	0.15	0.23	0.76	0.39	0.09	0.88	5	7.49	24.81	269.44	0.84	113	92.65	3.18	3
T0017	4.68	4.77	5.15	7.62	14.13	546554.16	8715229.96	0	5.37	9.53	0.1	4.89	0.1	0.61	1.21	5.59	3.43	6.81	6.91	12.4	54.94	1.41	4.91	0.31	0.47	758.28	1134.28	1435.6	2735.76	755.6	1129.2	1425.62	1914.25	2364.03	2580.71	2909.05	4220.28	3161.08	512.13	678.54	1072.12	1383.73	2810.97	4097.14	3116.4	0.34	231.58	174.25	213.05	-22.58	0	-0.01	0	0	0	0	0	0.05	0.04	92.85	0.01	-0.17	0.96	0.15	1.93	0.02	9.34	3.32	1.14	174.36	0.4	82.56	28.27	53.26	2
T0018	1.63	3.31	9.09	9.41	9.26	543806.99	8718909.22	0	5.41	5.72	0.19	1.73	1.33	0.3	0.97	4.91	3.5	4.34	4.53	9.25	46.91	4.3	3.29	0.4	0.6	490.2	783.32	994.04	2303.76	491.51	786.91	1001.79	1436.43	1929.29	2161.67	2495.15	3777.65	2689.06	363.35	442.89	696.69	850.5	2220.76	3065.28	2098.45	0.45	243.09	182.71	146.27	-23.61	-0.01	-0.01	-0.01	0	-0.01	-0.01	0	0.09	-0.01	92.99	0.01	-0.32	0.84	0.07	1.19	0.08	8.31	5.92	1.22	178.83	0.72	105.4	17.33	14.84	2
T0019	0.98	0.99	1.02	1.11	1.36	534830.7	8734415.98	0	4.69	2.2	0.49	0.2	0.1	0.03	0.04	2.71	0.94	0.37	0.86	3.08	12.08	56.69	0.99	0.49	0.74	481.2	827.92	941.68	2775.2	479.91	824.24	940.26	1519.64	2340.72	2600.68	2958.73	3378.46	2046.16	266.36	358.56	688.24	805	2717.49	2967.78	1731.21	0.54	338.72	178	102.78	-0.4	0	0	0	0	0	0	0	-0.01	0	177.71	0.02	0	0.52	3.5	2.44	0.76	9.78	0.73	24	298.59	0.08	98	45.33	7.67	5
T0020	1.09	1.03	0.83	1.1	2.03	546392.17	8719593.96	0	4.82	3.87	0.39	0.71	0	0.05	0.22	4.06	10.13	0.98	1.37	5.04	19.45	28.43	1.03	0.27	0.4	785.48	1180.72	1536.4	2643.44	777.22	1176.61	1540.77	1976.28	2342.68	2530.04	2803.08	4460.16	3105.34	423.1	561.39	953.75	1232.07	2526.52	3915.31	2666.43	0.35	324.51	154.93	121.47	-2.76	0	0.01	0.01	0	0	0	0	-0.1	0.02	160.29	0.2	0.19	0.68	0.2	0.95	0.84	8.68	5.45	28.29	300.28	0.63	113.44	70.88	5.28	3
T0021	0.56	0.6	0.66	0.53	NA	546480.95	8719521.91	0	4.63	6.73	0.78	0.82	0.41	0.05	0.24	6.77	6.19	1.52	2.29	8.29	18.28	33.98	0.58	0.32	0.47	677.36	1016.32	1291.04	2480.4	676.6	1014.52	1292.8	1701.7	2096.77	2312.24	2625.08	4326.61	2960.69	419.16	544.91	919.87	1175.46	2566.74	3922.82	2588.63	0.37	300.87	147.89	122.32	-3.98	0	0	0	0	0	0	0	0.02	0.03	139.9	0.15	-0.15	0.46	0.01	0.08	0.27	8.19	9.78	10.51	207.88	1.09	81	13.7	28	2
T0022	1.33	1.25	1	1.19	NA	546632.4	8719458.86	0	5.95	2.01	0.1	0.61	0.51	0.04	0.18	2.03	1.08	1.34	1.44	3.38	39.83	6.76	1.29	0.4	0.6	550.52	894.72	1105.92	2597.2	539.7	884.3	1083.48	1582.89	2189.45	2430.89	2769.1	3934.08	2696.3	394.22	489.45	835.66	950.79	2940.15	3461.51	2268.32	0.51	280.93	168.88	176.7	-17.81	-0.01	-0.01	0	0	0	0	0	0.04	0.09	124.14	0.07	-0.26	0.91	0.04	0.75	0.05	7.69	6.59	1.59	177.96	0.75	81	20.85	36.89	2
T0023	0.87	0.86	0.83	0.75	NA	538530.11	8750148.28	0	5.93	5.83	0.05	2.96	0.82	0.06	0.2	3.05	8.59	4.03	4.08	7.08	56.97	1.19	0.86	0.45	0.68	527.92	924.12	1056.56	2808.24	527.33	929.59	1056.75	1655.94	2421.23	2671.35	3003.59	3225.62	2018.01	172.71	332.5	749.2	889.84	2768.28	2852.67	1728.27	0.51	313.68	175.72	63.08	3.77	0	0	0	0	0	0	0	0.03	-0.05	131.91	0.03	0.02	0.78	0.41	0.64	0.11	7.81	3.69	3.1	188.68	0.41	87.4	60.97	24.82	2
T0024	0.72	0.69	0.6	0.74	0.79	536897.95	8749016.34	0	6.51	16.57	0.05	10.4	1.94	0.12	0.07	4.57	1.98	12.53	12.58	17.1	73.27	0.39	0.69	0.33	0.5	573.72	832.36	1057.12	2107.36	575.42	843.99	1066.68	1408.68	1841.53	2055.34	2330.92	3576	2724.84	327.72	415.48	702.73	874.53	2272.61	2992.83	2076.37	0.44	319.05	177.79	200.45	-17.24	0	0	0	0	0	0	0	0.01	-0.01	131.14	0.01	-0.08	0.96	0.28	3.63	0.02	10.71	1.41	1.29	176.24	0.17	83.16	30.38	58.35	2
T0025	1.8	2.38	4.34	4.18	NA	544112.57	8717743.16	0	5.6	6.8	0.1	2.96	4.89	0.33	0.98	4.4	2.45	9.16	9.26	13.56	67.55	1.05	2.4	0.34	0.51	593.16	930.84	1202.76	2408.88	585.31	922.72	1189.09	1621.72	2076.31	2296.74	2598.78	3876.7	2871.56	477.82	575.01	905.36	1161.65	2503.85	3544.15	2624.41	0.37	244.95	173.86	101.94	-21.16	-0.01	-0.02	-0.01	0	-0.01	-0.01	0	0.09	-0.03	95.46	0.04	-0.31	0.75	0.02	0.81	0.13	7.37	7.44	1.42	182.32	0.91	113.16	34.95	11.5	2
